EmployeeID,Name,Gender,Age,Department,JobRole,HireDate,Salary,PerformanceRating,Attrition,Education,MaritalStatus,YearsAtCompany,Overtime,JobSatisfaction,City
36,Employee 36,Male,41,Operations,Analyst,2022-07-23,1579914,3,No,Diploma,Married,3,Yes,4,Bengaluru
37,Employee 37,Female,51,Marketing,Associate,2015-02-22,874219,3,No,Bachelor,Single,11,Yes,2,Pune
38,Employee 38,Male,39,Operations,Specialist,2025-01-13,895700,1,Yes,Bachelor,Single,1,No,1,Mumbai
39,Employee 39,Female,37,IT,Engineer,2025-01-04,552172,1,No,Master,Single,1,No,2,Delhi
40,Employee 40,Male,28,Sales,Specialist,2024-02-23,885098,4,No,Master,Married,2,Yes,2,Bengaluru
41,Employee 41,Male,31,Finance,Associate,2015-03-04,1036029,2,No,Diploma,Single,11,No,1,Mumbai
42,Employee 42,Female,46,Finance,Manager,2017-08-11,1727472,1,No,Diploma,Single,8,Yes,2,Delhi
43,Employee 43,Female,42,Sales,Executive,2018-02-24,779449,3,Yes,Diploma,Single,8,Yes,4,Chennai
44,Employee 44,Male,36,Support,Associate,2019-08-13,792923,1,No,Master,Married,6,No,5,Chennai
45,Employee 45,Female,53,IT,Manager,2019-09-07,621142,3,No,Diploma,Married,6,No,2,Ahmedabad
46,Employee 46,Male,59,Finance,Analyst,2018-11-20,589319,3,No,Bachelor,Single,7,No,4,Hyderabad
47,Employee 47,Female,32,Support,Associate,2023-09-15,375667,5,Yes,Master,Married,2,Yes,5,Delhi
48,Employee 48,Male,21,HR,Associate,2021-01-16,1396992,1,No,Bachelor,Married,1,No,4,Ahmedabad
49,Employee 49,Female,27,HR,Executive,2021-07-26,1620304,4,No,Diploma,Single,4,No,5,Hyderabad
50,Employee 50,Female,46,HR,Engineer,2019-11-07,1480219,4,No,Master,Married,6,No,4,Mumbai
51,Employee 51,Female,28,Support,Specialist,2016-01-13,927146,5,No,Diploma,Single,8,No,5,Ahmedabad
52,Employee 52,Female,29,Finance,Specialist,2018-03-02,1076309,5,No,Bachelor,Married,8,No,2,Hyderabad
53,Employee 53,Female,60,Finance,Manager,2024-09-16,478270,3,No,Master,Single,1,Yes,4,Pune
54,Employee 54,Male,27,HR,Executive,2016-07-14,1626904,3,No,Master,Married,7,No,1,Chennai
55,Employee 55,Male,30,HR,Engineer,2021-04-23,1462509,2,No,Diploma,Married,5,Yes,4,Chennai
56,Employee 56,Female,53,Operations,Engineer,2018-10-04,1578845,3,No,Bachelor,Married,7,Yes,3,Hyderabad
57,Employee 57,Male,29,HR,Specialist,2025-06-18,674489,5,No,Bachelor,Single,1,No,4,Mumbai
58,Employee 58,Female,39,HR,Analyst,2023-10-25,1149432,2,No,Master,Single,2,Yes,1,Pune
59,Employee 59,Female,30,HR,Associate,2020-03-06,1589830,1,No,Bachelor,Married,6,Yes,3,Bengaluru
60,Employee 60,Male,47,Sales,Specialist,2015-11-20,712059,4,No,Master,Married,10,Yes,4,Chennai
61,Employee 61,Male,22,Sales,Manager,2015-09-11,399230,4,No,Master,Married,2,No,1,Mumbai
62,Employee 62,Female,39,IT,Associate,2025-08-09,1717113,1,No,Master,Single,0,Yes,1,Ahmedabad
63,Employee 63,Male,53,Support,Manager,2024-11-18,1686320,4,No,Diploma,Married,1,Yes,4,Bengaluru
64,Employee 64,Male,58,Finance,Engineer,2024-05-17,1452456,2,No,Master,Married,2,Yes,2,Mumbai
65,Employee 65,Female,40,Operations,Specialist,2024-09-24,366427,2,No,Diploma,Single,1,No,1,Pune
66,Employee 66,Male,29,Sales,Executive,2023-11-01,265858,1,No,Bachelor,Single,2,No,4,Bengaluru
67,Employee 67,Female,29,Support,Specialist,2015-10-01,1522796,2,No,Master,Single,9,No,1,Ahmedabad
68,Employee 68,Male,37,Finance,Specialist,2019-01-11,459825,5,No,Diploma,Single,7,No,3,Hyderabad
69,Employee 69,Female,44,HR,Engineer,2019-02-18,1248851,4,No,Bachelor,Married,7,Yes,3,Bengaluru
70,Employee 70,Female,41,IT,Specialist,2024-12-22,740446,1,No,Bachelor,Single,1,No,2,Pune
71,Employee 71,Male,41,Finance,Engineer,2017-02-24,1315641,3,Yes,Master,Single,9,Yes,1,Chennai
72,Employee 72,Female,48,HR,Engineer,2024-06-11,1795872,5,No,Bachelor,Single,2,Yes,4,Pune
73,Employee 73,Male,53,IT,Executive,2025-08-08,1300284,1,Yes,Bachelor,Married,0,Yes,3,Bengaluru
74,Employee 74,Female,27,IT,Analyst,2022-07-29,826604,3,No,Bachelor,Married,3,No,1,Mumbai
75,Employee 75,Male,22,Marketing,Analyst,2019-04-14,1673114,2,Yes,Bachelor,Married,2,Yes,2,Bengaluru
76,Employee 76,Male,25,HR,Analyst,2017-01-13,1300135,4,No,Bachelor,Married,5,Yes,1,Pune
77,Employee 77,Male,60,HR,Specialist,2020-05-10,1642512,3,No,Master,Married,6,No,4,Chennai
78,Employee 78,Female,25,Sales,Specialist,2017-06-24,1321394,4,Yes,Bachelor,Single,5,Yes,2,Delhi
79,Employee 79,Male,25,Sales,Specialist,2018-12-03,899981,3,Yes,Diploma,Married,5,Yes,5,Ahmedabad
80,Employee 80,Female,60,Finance,Specialist,2021-08-12,519327,5,No,Diploma,Married,4,No,1,Pune
81,Employee 81,Female,25,Operations,Analyst,2017-04-01,927577,5,No,Bachelor,Married,5,Yes,5,Pune
82,Employee 82,Male,29,HR,Specialist,2015-04-29,1158971,2,No,Master,Single,9,Yes,3,Chennai
83,Employee 83,Male,45,Finance,Associate,2018-11-29,551954,4,No,Bachelor,Married,7,Yes,4,Delhi
84,Employee 84,Female,40,Finance,Specialist,2023-11-02,707591,3,No,Bachelor,Single,2,Yes,2,Ahmedabad
85,Employee 85,Female,25,IT,Associate,2018-11-26,1739240,5,No,Master,Married,5,No,2,Ahmedabad
86,Employee 86,Male,57,IT,Executive,2019-12-17,787602,5,Yes,Diploma,Single,6,Yes,2,Pune
87,Employee 87,Male,38,Support,Engineer,2021-09-16,597131,4,No,Diploma,Married,4,No,5,Delhi
88,Employee 88,Female,36,Support,Specialist,2020-09-05,1536662,5,No,Master,Married,5,Yes,3,Mumbai
89,Employee 89,Female,52,HR,Manager,2024-06-09,341184,2,No,Bachelor,Single,2,No,5,Chennai
90,Employee 90,Male,29,Marketing,Analyst,2019-11-10,649191,3,Yes,Bachelor,Single,6,No,4,Mumbai
91,Employee 91,Female,37,Sales,Engineer,2015-03-10,1112970,2,No,Diploma,Single,11,No,5,Pune
92,Employee 92,Male,41,HR,Engineer,2020-09-22,377134,4,No,Diploma,Single,5,No,1,Chennai
93,Employee 93,Male,41,Sales,Analyst,2022-07-01,1011691,4,Yes,Bachelor,Single,4,Yes,1,Hyderabad
94,Employee 94,Female,56,IT,Specialist,2025-01-13,699252,1,No,Bachelor,Single,1,No,2,Delhi
95,Employee 95,Female,53,Sales,Specialist,2015-01-06,1164379,5,No,Diploma,Single,11,No,3,Mumbai
96,Employee 96,Female,54,Sales,Manager,2022-05-30,283791,4,No,Bachelor,Single,4,Yes,4,Ahmedabad
97,Employee 97,Male,50,Support,Associate,2018-12-11,292073,3,No,Bachelor,Married,7,Yes,1,Hyderabad
98,Employee 98,Female,22,Sales,Executive,2022-09-25,1151158,1,No,Bachelor,Married,2,Yes,2,Bengaluru
99,Employee 99,Male,31,HR,Analyst,2018-08-31,1166558,4,No,Bachelor,Single,7,Yes,4,Delhi
100,Employee 100,Female,49,Operations,Engineer,2019-12-03,1127954,2,No,Diploma,Married,6,Yes,3,Ahmedabad
101,Employee 101,Female,58,Finance,Analyst,2016-01-08,859575,4,No,Diploma,Married,10,No,4,Ahmedabad
102,Employee 102,Female,56,IT,Engineer,2022-10-12,1241336,2,No,Diploma,Single,3,Yes,4,Delhi
103,Employee 103,Female,40,Finance,Manager,2024-12-14,402264,5,No,Master,Married,1,Yes,1,Bengaluru
104,Employee 104,Female,27,Support,Specialist,2022-05-08,875617,2,Yes,Diploma,Single,4,Yes,4,Bengaluru
105,Employee 105,Male,32,Support,Engineer,2017-04-27,1242487,2,No,Diploma,Married,9,No,3,Pune
106,Employee 106,Male,22,Support,Manager,2025-01-05,1746250,1,No,Master,Married,1,No,4,Delhi
107,Employee 107,Male,42,Marketing,Executive,2026-01-20,1452570,1,No,Master,Single,0,Yes,2,Hyderabad
108,Employee 108,Female,37,Support,Executive,2016-01-18,306581,1,No,Diploma,Single,10,No,2,Bengaluru
109,Employee 109,Male,42,HR,Manager,2020-05-21,285341,2,No,Master,Single,6,Yes,3,Ahmedabad
110,Employee 110,Male,32,Operations,Specialist,2015-06-28,431438,1,No,Bachelor,Married,11,Yes,2,Ahmedabad
111,Employee 111,Male,47,Operations,Associate,2020-10-13,1543755,4,No,Master,Married,5,No,5,Delhi
112,Employee 112,Male,58,IT,Associate,2018-07-26,454574,5,No,Bachelor,Single,7,No,4,Hyderabad
113,Employee 113,Male,25,HR,Analyst,2023-03-12,1267698,4,No,Bachelor,Married,3,Yes,1,Delhi
114,Employee 114,Male,36,IT,Engineer,2025-10-06,1576536,5,No,Master,Married,0,No,2,Mumbai
115,Employee 115,Female,34,Sales,Engineer,2017-06-21,1522261,5,No,Diploma,Married,9,No,1,Ahmedabad
116,Employee 116,Male,41,Support,Manager,2021-08-25,1740946,5,No,Bachelor,Married,4,No,5,Chennai
117,Employee 117,Female,50,Operations,Specialist,2023-05-04,1795531,1,No,Diploma,Single,3,Yes,3,Hyderabad
118,Employee 118,Male,50,IT,Specialist,2016-04-27,1731937,3,No,Diploma,Single,10,Yes,5,Delhi
119,Employee 119,Male,49,Marketing,Specialist,2020-12-12,623415,3,No,Diploma,Single,5,No,4,Hyderabad
120,Employee 120,Female,58,Sales,Engineer,2015-05-04,864683,2,No,Diploma,Married,11,No,4,Mumbai
121,Employee 121,Male,26,Support,Executive,2017-10-10,301014,1,Yes,Diploma,Married,6,Yes,2,Pune
122,Employee 122,Male,22,Operations,Manager,2019-03-31,1444024,1,No,Master,Single,2,Yes,2,Pune
123,Employee 123,Female,24,Finance,Analyst,2021-07-19,613234,1,No,Diploma,Married,4,Yes,5,Mumbai
124,Employee 124,Male,42,Support,Associate,2016-07-19,510866,1,No,Master,Single,9,No,4,Chennai
125,Employee 125,Male,46,HR,Executive,2021-10-25,477465,5,No,Master,Single,4,Yes,5,Chennai
126,Employee 126,Female,22,Finance,Specialist,2016-10-24,1699024,4,No,Master,Married,2,No,2,Ahmedabad
127,Employee 127,Male,50,Finance,Analyst,2024-02-25,593802,5,No,Master,Single,2,No,3,Mumbai
128,Employee 128,Male,45,Support,Executive,2020-03-24,931783,2,No,Master,Single,6,Yes,4,Pune
129,Employee 129,Male,36,Sales,Manager,2023-04-17,570801,1,Yes,Diploma,Single,3,No,3,Mumbai
130,Employee 130,Male,46,HR,Executive,2025-08-20,754454,4,No,Master,Married,0,Yes,5,Mumbai
131,Employee 131,Male,58,IT,Manager,2016-07-21,1164962,1,No,Master,Single,9,No,3,Hyderabad
132,Employee 132,Male,55,IT,Executive,2016-03-11,1412018,2,No,Diploma,Married,10,No,1,Ahmedabad
133,Employee 133,Male,40,HR,Specialist,2020-05-20,388938,4,No,Master,Single,6,Yes,4,Mumbai
134,Employee 134,Male,34,IT,Engineer,2016-02-06,510960,2,No,Master,Married,10,Yes,1,Chennai
135,Employee 135,Female,41,HR,Associate,2015-05-11,1183084,4,No,Master,Single,11,No,4,Hyderabad
136,Employee 136,Female,37,HR,Manager,2024-12-20,641355,5,No,Bachelor,Single,1,Yes,5,Ahmedabad
137,Employee 137,Male,41,Support,Associate,2018-11-23,1105653,3,No,Diploma,Single,7,Yes,2,Pune
138,Employee 138,Female,22,Operations,Engineer,2017-05-08,299486,3,No,Bachelor,Single,2,Yes,4,Mumbai
139,Employee 139,Male,52,Finance,Manager,2018-07-27,950975,3,No,Master,Single,7,No,2,Delhi
140,Employee 140,Female,54,HR,Analyst,2019-01-28,996389,5,Yes,Diploma,Married,7,Yes,3,Mumbai
141,Employee 141,Male,57,Support,Engineer,2026-03-06,746774,3,No,Bachelor,Married,0,No,1,Hyderabad
142,Employee 142,Female,30,HR,Engineer,2018-01-17,1152055,3,No,Master,Single,8,Yes,4,Pune
143,Employee 143,Female,51,IT,Manager,2023-03-07,1423638,1,No,Master,Single,3,No,1,Bengaluru
144,Employee 144,Female,39,Finance,Manager,2026-06-16,1324277,5,No,Bachelor,Married,0,No,5,Mumbai
145,Employee 145,Male,47,Marketing,Specialist,2024-03-01,1574928,1,No,Bachelor,Married,2,Yes,5,Ahmedabad
146,Employee 146,Male,42,Finance,Specialist,2023-10-09,1232371,4,No,Diploma,Married,2,Yes,2,Mumbai
147,Employee 147,Female,31,Marketing,Associate,2023-03-03,295920,3,Yes,Bachelor,Married,3,No,4,Bengaluru
148,Employee 148,Male,33,Finance,Associate,2024-04-11,431454,4,No,Master,Single,2,Yes,3,Mumbai
149,Employee 149,Female,48,Finance,Analyst,2020-11-18,1449828,4,No,Bachelor,Single,5,Yes,3,Delhi
150,Employee 150,Female,56,IT,Manager,2025-03-15,734644,3,Yes,Bachelor,Single,1,Yes,3,Delhi
151,Employee 151,Male,40,Sales,Engineer,2021-12-30,1358263,5,No,Master,Single,4,No,1,Hyderabad
152,Employee 152,Female,53,IT,Specialist,2021-04-23,775862,4,No,Bachelor,Married,5,No,1,Hyderabad
153,Employee 153,Female,39,IT,Analyst,2016-11-17,1547707,4,No,Bachelor,Married,9,No,1,Pune
154,Employee 154,Male,22,Marketing,Associate,2019-01-18,1385784,5,No,Master,Married,2,No,4,Pune
155,Employee 155,Male,58,Finance,Engineer,2025-11-29,320505,5,No,Diploma,Married,0,Yes,4,Bengaluru
156,Employee 156,Female,33,Marketing,Executive,2017-07-26,761726,3,No,Master,Single,8,Yes,4,Delhi
157,Employee 157,Male,31,Support,Executive,2018-02-09,1718596,4,No,Diploma,Single,8,No,1,Bengaluru
158,Employee 158,Male,24,HR,Executive,2024-10-31,1215635,5,Yes,Diploma,Single,1,Yes,2,Delhi
159,Employee 159,Female,32,Marketing,Associate,2023-08-17,1770840,4,No,Master,Single,2,Yes,2,Mumbai
160,Employee 160,Female,39,IT,Associate,2015-06-09,960250,3,No,Diploma,Married,11,No,5,Bengaluru
161,Employee 161,Female,31,Operations,Executive,2019-12-13,1189623,4,No,Diploma,Married,6,No,5,Bengaluru
162,Employee 162,Female,57,Operations,Analyst,2021-12-26,1582050,4,No,Bachelor,Married,4,Yes,4,Pune
163,Employee 163,Male,56,Marketing,Specialist,2018-07-31,589418,1,No,Diploma,Single,7,Yes,4,Delhi
164,Employee 164,Female,53,HR,Analyst,2026-05-18,1424304,4,No,Diploma,Single,0,Yes,5,Chennai
165,Employee 165,Female,59,IT,Executive,2020-11-08,1594882,5,No,Bachelor,Single,5,No,1,Ahmedabad
166,Employee 166,Male,55,Marketing,Specialist,2019-11-18,1542439,1,No,Master,Single,6,No,3,Hyderabad
167,Employee 167,Male,39,Marketing,Engineer,2022-02-27,1340197,4,No,Master,Married,4,No,5,Chennai
168,Employee 168,Male,21,Operations,Associate,2022-10-30,1509392,5,No,Master,Married,1,No,4,Delhi
169,Employee 169,Male,50,Sales,Manager,2018-05-15,292926,1,No,Bachelor,Married,8,No,5,Mumbai
170,Employee 170,Male,39,Finance,Executive,2020-03-03,1425511,5,No,Diploma,Married,6,Yes,1,Bengaluru
171,Employee 171,Female,53,HR,Associate,2025-08-16,1744876,5,No,Master,Single,0,No,1,Ahmedabad
172,Employee 172,Male,43,Finance,Manager,2023-11-04,417035,2,No,Master,Married,2,No,2,Bengaluru
173,Employee 173,Male,34,IT,Engineer,2024-12-09,1042019,4,No,Bachelor,Single,1,Yes,5,Bengaluru
174,Employee 174,Female,55,Sales,Associate,2022-05-03,1395509,3,No,Bachelor,Married,4,No,5,Bengaluru
175,Employee 175,Female,28,Support,Analyst,2025-06-01,1324402,5,No,Diploma,Married,1,Yes,3,Pune
176,Employee 176,Male,59,Finance,Executive,2023-04-11,425523,3,No,Master,Single,3,Yes,1,Pune
177,Employee 177,Male,22,HR,Executive,2022-03-28,464021,5,No,Bachelor,Married,2,Yes,4,Ahmedabad
178,Employee 178,Male,30,Operations,Specialist,2021-07-02,806132,2,No,Master,Married,5,Yes,2,Delhi
179,Employee 179,Male,40,HR,Specialist,2022-11-11,512452,3,No,Bachelor,Married,3,Yes,4,Hyderabad
180,Employee 180,Male,27,Marketing,Analyst,2015-12-03,598751,1,No,Bachelor,Single,7,Yes,2,Chennai
181,Employee 181,Male,53,Operations,Manager,2017-08-18,642775,4,No,Diploma,Married,8,Yes,5,Bengaluru
182,Employee 182,Female,39,IT,Specialist,2026-06-27,384736,5,No,Bachelor,Single,0,Yes,5,Hyderabad
183,Employee 183,Male,51,Finance,Specialist,2018-12-12,819633,4,No,Diploma,Married,7,No,1,Chennai
184,Employee 184,Female,21,Operations,Analyst,2018-02-12,821728,5,No,Bachelor,Married,1,Yes,1,Delhi
185,Employee 185,Male,57,Support,Manager,2018-09-25,1541149,5,Yes,Diploma,Single,7,Yes,4,Hyderabad
186,Employee 186,Female,36,Finance,Associate,2020-09-12,542527,4,No,Master,Married,5,No,3,Ahmedabad
187,Employee 187,Female,42,IT,Executive,2015-05-25,964386,3,No,Bachelor,Single,11,No,3,Bengaluru
188,Employee 188,Male,54,Marketing,Engineer,2021-03-18,749260,2,No,Diploma,Married,5,Yes,1,Ahmedabad
189,Employee 189,Male,31,Sales,Analyst,2016-06-27,1445866,4,No,Diploma,Single,10,No,2,Ahmedabad
190,Employee 190,Male,47,IT,Associate,2023-05-24,837274,5,No,Master,Married,3,No,4,Mumbai
191,Employee 191,Male,55,IT,Associate,2023-01-28,1215424,3,Yes,Bachelor,Single,3,Yes,3,Pune
192,Employee 192,Female,33,Finance,Engineer,2018-06-16,393512,1,No,Master,Married,8,No,5,Pune
193,Employee 193,Female,45,IT,Manager,2016-10-25,1055555,4,No,Diploma,Single,9,No,4,Delhi
194,Employee 194,Male,56,Support,Engineer,2023-07-30,871635,5,No,Master,Married,2,Yes,1,Pune
195,Employee 195,Male,41,IT,Executive,2024-10-18,1244858,1,No,Master,Single,1,Yes,5,Hyderabad
196,Employee 196,Male,44,Support,Specialist,2019-02-20,833592,1,Yes,Bachelor,Married,7,Yes,4,Ahmedabad
197,Employee 197,Female,28,Support,Specialist,2022-02-04,1591949,1,No,Master,Single,4,Yes,5,Hyderabad
198,Employee 198,Male,28,Operations,Manager,2015-04-09,860464,4,No,Bachelor,Married,8,No,5,Ahmedabad
199,Employee 199,Female,57,IT,Manager,2017-07-10,1275339,2,No,Master,Single,8,No,2,Ahmedabad
200,Employee 200,Female,49,IT,Engineer,2026-02-02,1146048,3,No,Master,Married,0,No,4,Ahmedabad
201,Employee 201,Female,23,IT,Manager,2022-08-27,340489,2,No,Diploma,Single,3,No,4,Chennai
202,Employee 202,Male,48,Support,Engineer,2025-03-06,516081,4,No,Master,Married,1,No,3,Hyderabad
203,Employee 203,Female,54,Finance,Executive,2025-01-01,1592881,3,Yes,Bachelor,Married,1,No,3,Pune
204,Employee 204,Male,56,Marketing,Associate,2015-05-09,1724761,5,No,Bachelor,Single,11,No,5,Hyderabad
205,Employee 205,Female,48,Marketing,Engineer,2022-01-30,881129,2,Yes,Bachelor,Married,4,Yes,4,Hyderabad
206,Employee 206,Male,23,IT,Analyst,2016-12-28,1493625,5,No,Master,Married,3,No,2,Bengaluru
207,Employee 207,Male,35,Finance,Specialist,2025-01-17,473811,5,No,Diploma,Single,1,Yes,5,Chennai
208,Employee 208,Male,42,Sales,Analyst,2023-07-26,1581084,2,No,Master,Single,2,No,1,Delhi
209,Employee 209,Male,45,IT,Executive,2023-01-10,1786364,5,No,Diploma,Single,3,Yes,2,Hyderabad
210,Employee 210,Female,55,Support,Analyst,2023-05-26,419189,2,Yes,Diploma,Married,3,Yes,2,Ahmedabad
211,Employee 211,Female,23,IT,Executive,2022-12-17,980844,5,No,Master,Married,3,Yes,3,Hyderabad
212,Employee 212,Female,42,IT,Executive,2025-04-11,1164731,4,Yes,Bachelor,Married,1,Yes,1,Pune
213,Employee 213,Female,27,IT,Associate,2019-02-24,1407959,3,No,Bachelor,Married,7,No,5,Bengaluru
214,Employee 214,Male,32,Marketing,Associate,2017-07-14,705639,5,Yes,Diploma,Married,8,Yes,3,Chennai
215,Employee 215,Female,51,Marketing,Specialist,2020-06-17,556618,2,No,Diploma,Single,6,Yes,4,Ahmedabad
216,Employee 216,Female,30,Operations,Manager,2015-07-31,792921,4,No,Bachelor,Married,10,No,5,Ahmedabad
217,Employee 217,Male,35,HR,Specialist,2021-04-10,747590,1,No,Master,Married,5,Yes,5,Hyderabad
218,Employee 218,Female,42,Marketing,Associate,2023-04-14,1445537,5,No,Master,Married,3,No,5,Mumbai
219,Employee 219,Female,42,Sales,Analyst,2021-08-12,774132,4,No,Diploma,Married,4,No,3,Mumbai
220,Employee 220,Female,56,Finance,Associate,2019-08-05,410841,2,Yes,Bachelor,Single,6,No,3,Delhi
221,Employee 221,Male,57,Finance,Manager,2023-12-08,377960,1,No,Diploma,Married,2,Yes,4,Bengaluru
222,Employee 222,Male,43,Marketing,Associate,2020-08-01,368963,2,No,Master,Single,5,No,1,Chennai
223,Employee 223,Male,32,Marketing,Executive,2023-01-12,1057835,4,No,Bachelor,Married,3,Yes,5,Bengaluru
224,Employee 224,Male,48,Support,Manager,2019-07-10,1226123,3,No,Diploma,Married,6,No,1,Pune
225,Employee 225,Male,33,Operations,Executive,2018-08-24,552157,5,No,Diploma,Single,7,Yes,1,Hyderabad
226,Employee 226,Male,48,Marketing,Analyst,2019-12-25,443174,1,No,Diploma,Married,6,No,5,Mumbai
227,Employee 227,Male,36,HR,Executive,2024-07-25,1070655,4,No,Diploma,Married,1,Yes,1,Mumbai
228,Employee 228,Male,37,Marketing,Manager,2022-04-18,1507133,2,No,Bachelor,Married,4,Yes,1,Pune
229,Employee 229,Female,27,Support,Engineer,2015-10-19,1339210,3,No,Bachelor,Single,7,Yes,3,Hyderabad
230,Employee 230,Male,31,HR,Engineer,2023-01-12,330487,2,Yes,Master,Single,3,No,5,Delhi
231,Employee 231,Female,35,Sales,Engineer,2024-09-30,271004,5,No,Master,Single,1,No,3,Bengaluru
232,Employee 232,Male,59,IT,Analyst,2016-05-12,1113212,1,No,Diploma,Single,10,No,1,Hyderabad
233,Employee 233,Female,41,Operations,Manager,2025-10-31,521272,2,No,Bachelor,Married,0,Yes,2,Delhi
234,Employee 234,Male,34,Marketing,Associate,2017-10-18,1154323,1,Yes,Bachelor,Married,8,Yes,1,Hyderabad
235,Employee 235,Female,31,Sales,Executive,2016-05-04,1103639,5,Yes,Bachelor,Single,10,No,4,Bengaluru
236,Employee 236,Female,40,Marketing,Associate,2023-06-19,1162765,2,Yes,Bachelor,Single,3,Yes,3,Mumbai
237,Employee 237,Female,58,IT,Specialist,2023-02-17,1772699,5,No,Diploma,Married,3,No,5,Bengaluru
238,Employee 238,Male,51,Sales,Specialist,2021-07-15,1015708,1,No,Diploma,Single,4,No,5,Chennai
239,Employee 239,Male,34,Marketing,Engineer,2018-12-24,1411687,5,No,Master,Single,7,Yes,1,Hyderabad
240,Employee 240,Male,58,HR,Specialist,2015-05-29,394419,3,No,Master,Married,11,No,5,Delhi
241,Employee 241,Male,53,Operations,Executive,2019-09-06,1774411,5,No,Diploma,Married,6,No,4,Pune
242,Employee 242,Female,59,Operations,Engineer,2015-06-09,1362609,3,No,Master,Married,11,Yes,5,Pune
243,Employee 243,Male,48,Finance,Engineer,2022-09-09,484978,1,No,Master,Married,3,No,1,Pune
